icd9_code,short_title,long_title,source
4514,Clos small bowel biopsy,Closed [endoscopic] biopsy of small intestine,procedure
4515,Open small bowel biopsy,Open biopsy of small intestine,procedure
4516,Egd with closed biopsy,Esophagogastroduodenoscopy [EGD] with closed biopsy,procedure
45181,Iliac thrombophlebitis,Phlebitis and thrombophlebitis of iliac vein,diagnose
45182,Phlbts sprfc vn up extrm,Phlebitis and thrombophlebitis of superficial veins of upper extremities,diagnose
45183,Phlbts deep vn up extrm,Phlebitis and thrombophlebitis of deep veins of upper extremities,diagnose
45184,Phlbts vn NOS up extrm,"Phlebitis and thrombophlebitis of upper extremities, unspecified",diagnose
45189,Thrombophlebitis NEC,Phlebitis and thrombophlebitis of other sites,diagnose
4519,Thrombophlebitis NOS,Phlebitis and thrombophlebitis of unspecified site,diagnose
4519,Sm bowel dx proc NEC,Other diagnostic procedures on small intestine,procedure
452,Portal vein thrombosis,Portal vein thrombosis,diagnose
4521,Transab lg bowel endosc,Transabdominal endoscopy of large intestine,procedure
4522,Endosc lg bowel thru st,Endoscopy of large intestine through artificial stoma,procedure
4523,Colonoscopy,Colonoscopy,procedure
4524,Flexible sigmoidoscopy,Flexible sigmoidoscopy,procedure
4525,Clos large bowel biopsy,Closed [endoscopic] biopsy of large intestine,procedure
4526,Open large bowel biopsy,Open biopsy of large intestine,procedure
4527,Intestinal biopsy NOS,"Intestinal biopsy, site unspecified",procedure
4528,Lg bowel dx proced NEC,Other diagnostic procedures on large intestine,procedure
4529,Bowel diagnost proc NEC,"Other diagnostic procedures on intestine, site unspecified",procedure
4530,Endosc destru duoden les,Endoscopic excision or destruction of lesion of duodenum,procedure
4530,Budd-chiari syndrome,Budd-chiari syndrome,diagnose
4531,Thrombophlebitis migrans,Thrombophlebitis migrans,diagnose
4531,Oth excise duodenum les,Other local excision of lesion of duodenum,procedure
4532,Destruct duoden les NEC,Other destruction of lesion of duodenum,procedure
4532,Oth inf vena cava thromb,Other venous embolism and thrombosis of inferior vena cava,diagnose
4533,Renal vein thrombosis,Other venous embolism and thrombosis of renal vein,diagnose
4533,Local excis sm bowel NEC,"Local excision of lesion or tissue of small intestine, except duodenum",procedure
4534,Destr sm bowel les NEC,"Other destruction of lesion of small intestine, except duodenum",procedure
45340,Ac DVT/embl low ext NOS,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity,diagnose
45341,Ac DVT/emb prox low ext,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity,diagnose
45342,Ac DVT/emb distl low ext,Acute venous embolism and thrombosis of deep vessels of distal lower extremity,diagnose
45350,Ch DVT/embl low ext NOS,Chronic venous embolism and thrombosis of unspecified deep vessels of lower extremity,diagnose
45351,Ch DVT/embl prox low ext,Chronic venous embolism and thrombosis of deep vessels of proximal lower extremity,diagnose
45352,Ch DVT/embl dstl low ext,Chronic venous embolism and thrombosis of deep vessels of distal lower extremity,diagnose
4536,Embl suprfcl ves low ext,Venous embolism and thrombosis of superficial vessels of lower extremity,diagnose
45371,Ch emblsm suprfcl up ext,Chronic venous embolism and thrombosis of superficial veins of upper extremity,diagnose
45372,Ch DVT/embl up ext,Chronic venous embolism and thrombosis of deep veins of upper extremity,diagnose
45373,Ch emblsm up ext NOS,"Chronic venous embolism and thrombosis of upper extremity, unspecified",diagnose
45374,Ch emblsm axillary veins,Chronic venous embolism and thrombosis of axillary veins,diagnose
45375,Ch emblsm subclav veins,Chronic venous embolism and thrombosis of subclavian veins,diagnose
45376,Ch embl internl jug vein,Chronic venous embolism and thrombosis of internal jugular veins,diagnose
45377,Ch embl thorac vein NEC,Chronic venous embolism and thrombosis of other thoracic veins,diagnose
45379,Ch emblsm veins NEC,Chronic venous embolism and thrombosis of other specified veins,diagnose
45381,Ac embl suprfcl up ext,Acute venous embolism and thrombosis of superficial veins of upper extremity,diagnose
45382,Ac DVT/embl up ext,Acute venous embolism and thrombosis of deep veins of upper extremity,diagnose
45383,Ac emblsm up ext NOS,"Acute venous embolism and thrombosis of upper extremity, unspecified",diagnose
45384,Ac emblsm axillary veins,Acute venous embolism and thrombosis of axillary veins,diagnose
45385,Ac embl subclav veins,Acute venous embolism and thrombosis of subclavian veins,diagnose
45386,Ac embl internl jug vein,Acute venous embolism and thrombosis of internal jugular veins,diagnose
45387,Ac embl thorac vein NEC,Acute venous embolism and thrombosis of other thoracic veins,diagnose
45389,Ac embolism veins NEC,Acute venous embolism and thrombosis of other specified veins,diagnose
4539,Venous thrombosis NOS,Other venous embolism and thrombosis of unspecified site,diagnose
4540,Leg varicosity w ulcer,Varicose veins of lower extremities with ulcer,diagnose
4541,Leg varicosity w inflam,Varicose veins of lower extremities with inflammation,diagnose
4541,Excise lg intestine les,Excision of lesion or tissue of large intestine,procedure
4542,Endo polpectomy lrge int,Endoscopic polypectomy of large intestine,procedure
4542,Varicos leg ulcer/inflam,Varicose veins of lower extremities with ulcer and inflammation,diagnose
4543,Endosc destru lg int les,Endoscopic destruction of other lesion or tissue of large intestine,procedure
4548,"Varic vein leg,comp NEC",Varicose veins of lower extremities with other complications,diagnose
4549,Asympt varicose veins,Asymptomatic varicose veins,diagnose
4549,Destruc lg bowel les NEC,Other destruction of lesion of large intestine,procedure
4550,Intest seg isolat NOS,"Isolation of intestinal segment, not otherwise specified",procedure
4550,Int hemorrhoid w/o compl,Internal hemorrhoids without mention of complication,diagnose
4551,Int thrombos hemorrhoid,Internal thrombosed hemorrhoids,diagnose
4551,Sm bowel segment isolat,Isolation of segment of small intestine,procedure
4552,Lg bowel segment isolat,Isolation of segment of large intestine,procedure
4552,Int hemrrhoid w comp NEC,Internal hemorrhoids with other complication,diagnose
4553,Ext hemorrhoid w/o compl,External hemorrhoids without mention of complication,diagnose
4554,Ext thrombos hemorrhoid,External thrombosed hemorrhoids,diagnose
4555,Ext hemrrhoid w comp NEC,External hemorrhoids with other complication,diagnose
4556,Hemorrhoids NOS,Unspecified hemorrhoids without mention of complication,diagnose
4557,Thrombos hemorrhoids NOS,Unspecified thrombosed hemorrhoids,diagnose
4558,Hemrrhoid NOS w comp NEC,Unspecified hemorrhoids with other complication,diagnose
4559,Residual hemorrhoid tags,Residual hemorrhoidal skin tags,diagnose
4560,Esophag varices w bleed,Esophageal varices with bleeding,diagnose
4561,Esoph varices w/o bleed,Esophageal varices without mention of bleeding,diagnose
4561,Mult seg sm bowel excis,Multiple segmental resection of small intestine,procedure
4562,Part sm bowel resect NEC,Other partial resection of small intestine,procedure
45620,Bleed esoph var oth dis,"Esophageal varices in diseases classified elsewhere, with bleeding",diagnose
45621,Esoph varice oth dis NOS,"Esophageal varices in diseases classified elsewhere, without mention of bleeding",diagnose
4563,Sublingual varices,Sublingual varices,diagnose
4563,Total removal sm bowel,Total removal of small intestine,procedure
4564,Scrotal varices,Scrotal varices,diagnose
4565,Pelvic varices,Pelvic varices,diagnose
4566,Vulval varices,Vulval varices,diagnose
4568,Varices of other sites,Varices of other sites,diagnose
4570,Postmastect lymphedema,Postmastectomy lymphedema syndrome,diagnose
4571,Other lymphedema,Other lymphedema,diagnose
4571,Opn mul seg lg intes NEC,Open and other multiple segmental resection of large intestine,procedure
4572,Open cecectomy NEC,Open and other cecectomy,procedure
4572,Lymphangitis,Lymphangitis,diagnose
4573,Opn rt hemicolectomy NEC,Open and other right hemicolectomy,procedure
4574,Opn transv colon res NEC,Open and other resection of transverse colon,procedure
4575,Opn lft hemicolectmy NEC,Open and other left hemicolectomy,procedure
4576,Open sigmoidectomy NEC,Open and other sigmoidectomy,procedure
4578,Noninfect lymph dis NEC,Other noninfectious disorders of lymphatic channels,diagnose
4579,Noninfect lymph dis NOS,Unspecified noninfectious disorder of lymphatic channels,diagnose
4579,Prt lg intes exc NEC/NOS,Other and unspecified partial excision of large intestine,procedure
4580,Orthostatic hypotension,Orthostatic hypotension,diagnose
4581,Chronic hypotension,Chronic hypotension,diagnose
4581,Lap tot intr-ab colectmy,Laparoscopic total intra-abdominal colectomy,procedure
4582,Op tot intr-abd colectmy,Open total intra-abdominal colectomy,procedure
45821,Hemododialysis hypotensn,Hypotension of hemodialysis,diagnose
45829,Iatrogenc hypotnsion NEC,Other iatrogenic hypotension,diagnose
4583,Tot abd colectmy NEC/NOS,Other and unspecified total intra-abdominal colectomy,procedure
4588,Hypotension NEC,Other specified hypotension,diagnose
4589,Hypotension NOS,"Hypotension, unspecified",diagnose
4590,Hemorrhage NOS,"Hemorrhage, unspecified",diagnose
4590,Intestinal anastom NOS,"Intestinal anastomosis, not otherwise specified",procedure
4591,Sm-to-sm bowel anastom,Small-to-small intestinal anastomosis,procedure
45910,Postphlbtc synd w/o comp,Postphlebetic syndrome without complications,diagnose
45911,Postphlebtc synd w ulcer,Postphlebetic syndrome with ulcer,diagnose
45912,Postphlebtc syn w inflam,Postphlebetic syndrome with inflammation,diagnose
45913,Postphl syn w ulc&inflam,Postphlebetic syndrome with ulcer and inflammation,diagnose
45919,Postphleb synd comp NEC,Postphlebetic syndrome with other complication,diagnose
4592,Compression of vein,Compression of vein,diagnose
4592,Sm bowel-rect stump anas,Anastomosis of small intestine to rectal stump,procedure
4593,Small-to-large bowel NEC,Other small-to-large intestinal anastomosis,procedure
45930,Chr venous hypr w/o comp,Chronic venous hypertension without complications,diagnose
45931,Chr venous hyper w ulcer,Chronic venous hypertension with ulcer,diagnose
45932,Chr venous hypr w inflam,Chronic venous hypertension with inflammation,diagnose
45933,Chr ven hyp w ulc&inflam,Chronic venous hypertension with ulcer and inflammation,diagnose
45939,Chr venous hyp comp NEC,Chronic venous hypertension with other complication,diagnose
4594,Lg-to-lg bowel anastom,Large-to-large intestinal anastomosis,procedure
4595,Anal anastomosis,Anastomosis to anus,procedure
45981,Venous insufficiency NOS,"Venous (peripheral) insufficiency, unspecified",diagnose
45989,Circulatory disease NEC,Other specified disorders of circulatory system,diagnose
4599,Circulatory disease NOS,Unspecified circulatory system disorder,diagnose
460,Acute nasopharyngitis,Acute nasopharyngitis [common cold],diagnose
4601,Sm bowel exteriorization,Exteriorization of small intestine,procedure
4602,Resect ext seg sm bowel,Resection of exteriorized segment of small intestine,procedure
4603,Lg bowel exteriorization,Exteriorization of large intestine,procedure
4604,Resect ext seg lg bowel,Resection of exteriorized segment of large intestine,procedure
4610,Colostomy NOS,"Colostomy, not otherwise specified",procedure
4610,Ac maxillary sinusitis,Acute maxillary sinusitis,diagnose
4611,Ac frontal sinusitis,Acute frontal sinusitis,diagnose
4611,Temporary colostomy,Temporary colostomy,procedure
4612,Ac ethmoidal sinusitis,Acute ethmoidal sinusitis,diagnose
4613,Ac sphenoidal sinusitis,Acute sphenoidal sinusitis,diagnose
4613,Permanent colostomy,Permanent colostomy,procedure
4614,Delay opening colostomy,Delayed opening of colostomy,procedure
4618,Other acute sinusitis,Other acute sinusitis,diagnose
4619,Acute sinusitis NOS,"Acute sinusitis, unspecified",diagnose
462,Acute pharyngitis,Acute pharyngitis,diagnose
4620,Ileostomy NOS,"Ileostomy, not otherwise specified",procedure
4621,Temporary ileostomy,Temporary ileostomy,procedure
4622,Continent ileostomy,Continent ileostomy,procedure
4623,Permanent ileostomy NEC,Other permanent ileostomy,procedure
4624,Delay opening ileostomy,Delayed opening of ileostomy,procedure
463,Acute tonsillitis,Acute tonsillitis,diagnose
4631,Delay opening enterostom,Delayed opening of other enterostomy,procedure
4632,Percu endosc jejunostomy,Percutaneous (endoscopic) jejunostomy [PEJ],procedure
4639,Enterostomy NEC,Other enterostomy,procedure
4640,Intest stoma revis NOS,"Revision of intestinal stoma, not otherwise specified",procedure
46400,Ac laryngitis w/o obst,Acute laryngitis without mention of obstruction,diagnose
46401,Ac laryngitis w obstruct,Acute laryngitis with obstruction,diagnose
4641,Sm bowel stoma revision,Revision of stoma of small intestine,procedure
46410,Ac tracheitis no obstruc,Acute tracheitis without mention of obstruction,diagnose
46411,Ac tracheitis w obstruct,Acute tracheitis with obstruction,diagnose
4642,Pericolost hernia repair,Repair of pericolostomy hernia,procedure
46420,Ac laryngotrach no obstr,Acute laryngotracheitis without mention of obstruction,diagnose
46421,Ac laryngotrach w obstr,Acute laryngotracheitis with obstruction,diagnose
4643,Lg bowel stoma revis NEC,Other revision of stoma of large intestine,procedure
46430,Ac epiglottitis no obstr,Acute epiglottitis without mention of obstruction,diagnose
46431,Ac epiglottitis w obstr,Acute epiglottitis with obstruction,diagnose
4644,Croup,Croup,diagnose
46450,Supraglottis w/o obs NOS,"Supraglottitis unspecified, without obstruction",diagnose
46451,Supraglottis w obstr NOS,"Supraglottitis unspecified, with obstruction",diagnose
4650,Acute laryngopharyngitis,Acute laryngopharyngitis,diagnose
4650,Intest stoma closure NOS,"Closure of intestinal stoma, not otherwise specified",procedure
4651,Sm bowel stoma closure,Closure of stoma of small intestine,procedure
4652,Lg bowel stoma closure,Closure of stoma of large intestine,procedure
4658,Acute uri mult sites NEC,Acute upper respiratory infections of other multiple sites,diagnose
4659,Acute uri NOS,Acute upper respiratory infections of unspecified site,diagnose
4660,Acute bronchitis,Acute bronchitis,diagnose
4660,Intestinal fixation NOS,"Fixation of intestine, not otherwise specified",procedure
4661,Sm bowel-abd wall fixat,Fixation of small intestine to abdominal wall,procedure
46611,Acu broncholitis d/t RSV,Acute bronchiolitis due to respiratory syncytial virus (RSV),diagnose
46619,Acu brnchlts d/t oth org,Acute bronchiolitis due to other infectious organisms,diagnose
4662,Small bowel fixation NEC,Other fixation of small intestine,procedure
4663,Lg bowel-abd wall fixat,Fixation of large intestine to abdominal wall,procedure
4664,Large bowel fixation NEC,Other fixation of large intestine,procedure
4671,Duodenal lacerat suture,Suture of laceration of duodenum,procedure
4672,Duodenal fistula closure,Closure of fistula of duodenum,procedure
4673,Small bowel suture NEC,"Suture of laceration of small intestine, except duodenum",procedure
4674,Close sm bowel fist NEC,"Closure of fistula of small intestine, except duodenum",procedure
4675,Suture lg bowel lacerat,Suture of laceration of large intestine,procedure
4676,Close lg bowel fistula,Closure of fistula of large intestine,procedure
4679,Repair of intestine NEC,Other repair of intestine,procedure
4680,Intra-ab bowel manip NOS,"Intra-abdominal manipulation of intestine, not otherwise specified",procedure
4681,Intra-abd sm bowel manip,Intra-abdominal manipulation of small intestine,procedure
4682,Intra-abd lg bowel manip,Intra-abdominal manipulation of large intestine,procedure
4685,Dilation of intestine,Dilation of intestine,procedure
4686,Endo insrt colonic stent,Endoscopic insertion of colonic stent(s),procedure
4687,Insert colonic stent NEC,Other insertion of colonic stent(s),procedure
4691,Myotomy of sigmoid colon,Myotomy of sigmoid colon,procedure
4692,Myotomy of colon NEC,Myotomy of other parts of colon,procedure
4693,Revise sm bowel anastom,Revision of anastomosis of small intestine,procedure
4694,Revise lg bowel anastom,Revision of anastomosis of large intestine,procedure
4695,Local sm bowel perfusion,Local perfusion of small intestine,procedure
4696,Local lg bowel perfusion,Local perfusion of large intestine,procedure
4697,Transplant of intestine,Transplant of intestine,procedure
4699,Intestinal op NEC,Other operations on intestines,procedure
470,Deviated nasal septum,Deviated nasal septum,diagnose
4701,Lap appendectomy,Laparoscopic appendectomy,procedure
4709,Other appendectomy,Other appendectomy,procedure
4710,Polyp of nasal cavity,Polyp of nasal cavity,diagnose
4711,Polypoid sinus degen,Polypoid sinus degeneration,diagnose
4711,Lap incid appendectomy,Laparoscopic incidental appendectomy,procedure
4718,Nasal sinus polyp NEC,Other polyp of sinus,diagnose
4719,Nasal polyp NOS,Unspecified nasal polyp,diagnose
4719,Other incid appendectomy,Other incidental appendectomy,procedure
472,Drain appendiceal absc,Drainage of appendiceal abscess,procedure
4720,Chronic rhinitis,Chronic rhinitis,diagnose
4721,Chronic pharyngitis,Chronic pharyngitis,diagnose
4722,Chronic nasopharyngitis,Chronic nasopharyngitis,diagnose
4730,Chr maxillary sinusitis,Chronic maxillary sinusitis,diagnose
4731,Chr frontal sinusitis,Chronic frontal sinusitis,diagnose
4732,Chr ethmoidal sinusitis,Chronic ethmoidal sinusitis,diagnose
4733,Chr sphenoidal sinusitis,Chronic sphenoidal sinusitis,diagnose
4738,Chronic sinusitis NEC,Other chronic sinusitis,diagnose
4739,Chronic sinusitis NOS,Unspecified sinusitis (chronic),diagnose
47400,Chronic tonsillitis,Chronic tonsillitis,diagnose
47401,Chronic adenoiditis,Chronic adenoiditis,diagnose
47402,Chronic tonsils&adenoids,Chronic tonsillitis and adenoiditis,diagnose
47410,Hypertrophy T and A,Hypertrophy of tonsil with adenoids,diagnose
47411,Hypertrophy tonsils,Hypertrophy of tonsils alone,diagnose
47412,Hypertrophy adenoids,Hypertrophy of adenoids alone,diagnose
4742,Adenoid vegetations,Adenoid vegetations,diagnose
4748,Chr T & A dis NEC,Other chronic disease of tonsils and adenoids,diagnose
4749,Chr T & A dis NOS,Unspecified chronic disease of tonsils and adenoids,diagnose
475,Peritonsillar abscess,Peritonsillar abscess,diagnose
4760,Chronic laryngitis,Chronic laryngitis,diagnose
4761,Chr laryngotracheitis,Chronic laryngotracheitis,diagnose
4770,Rhinitis due to pollen,Allergic rhinitis due to pollen,diagnose
4771,Allergic rhinitis-food,Allergic rhinitis due to food,diagnose
4772,Allerg rhinitis-cat/dog,Allergic rhinitis due to animal (cat) (dog) hair and dander,diagnose
4778,Allergic rhinitis NEC,Allergic rhinitis due to other allergen,diagnose
4779,Allergic rhinitis NOS,"Allergic rhinitis, cause unspecified",diagnose
4780,Hypertrph nasal turbinat,Hypertrophy of nasal turbinates,diagnose
47811,Nasal mucositis (ulcer),Nasal mucositis (ulcerative),diagnose
47819,Nasal & sinus dis NEC,Other disease of nasal cavity and sinuses,diagnose
47820,Disease of pharynx NOS,Unspecified disease of pharynx,diagnose
47821,Cellulitis of pharynx,Cellulitis of pharynx or nasopharynx,diagnose
47822,Parapharyngeal abscess,Parapharyngeal abscess,diagnose
47824,Retropharyngeal abscess,Retropharyngeal abscess,diagnose
47825,Edema pharynx/nasopharyx,Edema of pharynx or nasopharynx,diagnose
47826,Cyst pharynx/nasopharynx,Cyst of pharynx or nasopharynx,diagnose
47829,Disease of pharynx NEC,"Other diseases of pharynx, not elsewhere classified",diagnose
47830,Vocal cord paralysis NOS,"Paralysis of vocal cords or larynx, unspecified",diagnose
47831,Vocal paral unilat part,"Unilateral paralysis of vocal cords or larynx, partial",diagnose
47832,Vocal paral unilat total,"Unilateral paralysis of vocal cords or larynx, complete",diagnose
47833,Vocal paral bilat part,"Bilateral paralysis of vocal cords or larynx, partial",diagnose
47834,Vocal paral bilat total,"Bilateral paralysis of vocal cords or larynx, complete",diagnose
4784,Vocal cord/larynx polyp,Polyp of vocal cord or larynx,diagnose
4785,Vocal cord disease NEC,Other diseases of vocal cords,diagnose
4786,Edema of larynx,Edema of larynx,diagnose
47870,Disease of larynx NOS,Unspecified disease of larynx,diagnose
47871,Laryngeal cellulitis,Cellulitis and perichondritis of larynx,diagnose
47874,Stenosis of larynx,Stenosis of larynx,diagnose
47875,Laryngeal spasm,Laryngeal spasm,diagnose
47879,Disease of larynx NEC,"Other diseases of larynx, not elsewhere classified",diagnose
4788,Urt hypersens react NOS,"Upper respiratory tract hypersensitivity reaction, site unspecified",diagnose
4789,Upper resp dis NEC/NOS,Other and unspecified diseases of upper respiratory tract,diagnose
4791,Appendicostomy,Appendicostomy,procedure
4792,Close appendiceal fistul,Closure of appendiceal fistula,procedure
4799,Appendiceal ops NEC,Other operations on appendix,procedure
480,Proctotomy,Proctotomy,procedure
4800,Adenoviral pneumonia,Pneumonia due to adenovirus,diagnose
4801,Resp syncyt viral pneum,Pneumonia due to respiratory syncytial virus,diagnose
4802,Parinfluenza viral pneum,Pneumonia due to parainfluenza virus,diagnose
4803,Pneumonia due to SARS,Pneumonia due to SARS-associated coronavirus,diagnose
4808,Viral pneumonia NEC,Pneumonia due to other virus not elsewhere classified,diagnose
4809,Viral pneumonia NOS,"Viral pneumonia, unspecified",diagnose
481,Pneumococcal pneumonia,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],diagnose
481,Proctostomy,Proctostomy,procedure
4820,K. pneumoniae pneumonia,Pneumonia due to Klebsiella pneumoniae,diagnose
4821,Pseudomonal pneumonia,Pneumonia due to Pseudomonas,diagnose
4821,Transab proctosigmoidosc,Transabdominal proctosigmoidoscopy,procedure
4822,Proctosigmoidosc thru st,Proctosigmoidoscopy through artificial stoma,procedure
4822,H.influenzae pneumonia,Pneumonia due to Hemophilus influenzae [H. influenzae],diagnose
4823,Rigid proctosigmoidoscpy,Rigid proctosigmoidoscopy,procedure
48230,Streptococcal pneumn NOS,"Pneumonia due to Streptococcus, unspecified",diagnose
48231,Pneumonia strptococcus a,"Pneumonia due to Streptococcus, group A",diagnose
48232,Pneumonia strptococcus b,"Pneumonia due to Streptococcus, group B",diagnose
48239,Pneumonia oth strep,Pneumonia due to other Streptococcus,diagnose
4824,Closed rectal biopsy,Closed [endoscopic] biopsy of rectum,procedure
48240,Staphylococcal pneu NOS,"Pneumonia due to Staphylococcus, unspecified",diagnose
48241,Meth sus pneum d/t Staph,Methicillin susceptible pneumonia due to Staphylococcus aureus,diagnose
48242,Meth res pneu d/t Staph,Methicillin resistant pneumonia due to Staphylococcus aureus,diagnose
48249,Staph pneumonia NEC,Other Staphylococcus pneumonia,diagnose
4825,Open rectal biopsy,Open biopsy of rectum,procedure
4826,Perirectal tissue biopsy,Biopsy of perirectal tissue,procedure
48281,Pneumonia anaerobes,Pneumonia due to anaerobes,diagnose
48282,Pneumonia e coli,Pneumonia due to escherichia coli [E. coli],diagnose
48283,Pneumo oth grm-neg bact,Pneumonia due to other gram-negative bacteria,diagnose
48284,Legionnaires' disease,Pneumonia due to Legionnaires' disease,diagnose
48289,Pneumonia oth spcf bact,Pneumonia due to other specified bacteria,diagnose
4829,Bacterial pneumonia NOS,"Bacterial pneumonia, unspecified",diagnose
4829,Rect/perirect dx op NEC,"Other diagnostic procedures on rectum, rectosigmoid and perirectal tissue",procedure
4830,Pneu mycplsm pneumoniae,Pneumonia due to mycoplasma pneumoniae,diagnose
4831,Pneumonia d/t chlamydia,Pneumonia due to chlamydia,diagnose
4831,Rad electrocoag-rect les,Radical electrocoagulation of rectal lesion or tissue,procedure
4832,Electrocoag rect les NEC,Other electrocoagulation of rectal lesion or tissue,procedure
4833,Laser destruc rectal les,Destruction of rectal lesion or tissue by laser,procedure
4834,Cryosurg destr rect les,Destruction of rectal lesion or tissue by cryosurgery,procedure
4835,Local excis rectal les,Local excision of rectal lesion or tissue,procedure
4836,Polypectomy of rectum,[Endoscopic] polypectomy of rectum,procedure
4838,Pneumon oth spec orgnsm,Pneumonia due to other specified organism,diagnose
4840,Pull-thru res rectum NOS,"Pull-through resection of rectum, not otherwise specified",procedure
4841,Soave submuc rect resect,Soave submucosal resection of rectum,procedure
4841,Pneum w cytomeg incl dis,Pneumonia in cytomegalic inclusion disease,diagnose
4842,Lap pull-thru res rectum,Laparoscopic pull-through resection of rectum,procedure
4843,Opn pull-thru res rectum,Open pull-through resection of rectum,procedure
4843,Pneumonia in whoop cough,Pneumonia in whooping cough,diagnose
4845,Pneumonia in anthrax,Pneumonia in anthrax,diagnose
4846,Pneum in aspergillosis,Pneumonia in aspergillosis,diagnose
4847,Pneum in oth sys mycoses,Pneumonia in other systemic mycoses,diagnose
4848,Pneum in infect dis NEC,Pneumonia in other infectious diseases classified elsewhere,diagnose
4849,Pull-thru rect resec NEC,Other pull-through resection of rectum,procedure
485,Bronchopneumonia org NOS,"Bronchopneumonia, organism unspecified",diagnose
4850,Abdperneal res rectm NOS,"Abdominoperineal resection of the rectum, not otherwise specified",procedure
4851,Lap abdperneal resc rec,Laparoscopic abdominoperineal resection of the rectum,procedure
4852,Opn abdperneal resc rec,Open abdominoperineal resection of the rectum,procedure
4859,Abdperneal resc rect NEC,Other abdominoperineal resection of the rectum,procedure
486,"Pneumonia, organism NOS","Pneumonia, organism unspecified",diagnose
4861,Transsac rectosigmoidect,Transsacral rectosigmoidectomy,procedure
4862,Ant rect resect w colost,Anterior resection of rectum with synchronous colostomy,procedure
4863,Anterior rect resect NEC,Other anterior resection of rectum,procedure
4864,Posterior rect resection,Posterior resection of rectum,procedure
4865,Duhamel rectal resection,Duhamel resection of rectum,procedure
4869,Rectal resection NEC,Other resection of rectum,procedure
4870,Influenza with pneumonia,Influenza with pneumonia,diagnose
4871,Flu w resp manifest NEC,Influenza with other respiratory manifestations,diagnose
4871,Suture of rectal lacer,Suture of laceration of rectum,procedure
4872,Closure of proctostomy,Closure of proctostomy,procedure
4873,Close rectal fist NEC,Closure of other rectal fistula,procedure
4874,Rectorectostomy,Rectorectostomy,procedure
4875,Abdominal proctopexy,Abdominal proctopexy,procedure
4876,Proctopexy NEC,Other proctopexy,procedure
4878,Flu w manifestation NEC,Influenza with other manifestations,diagnose
4879,Repair of rectum NEC,Other repair of rectum,procedure
48801,Flu dt iden avian w pneu,Influenza due to identified avian influenza virus with pneumonia,diagnose
48802,Flu dt avian w oth resp,Influenza due to identified avian influenza virus with other respiratory manifestations,diagnose
48809,Flu dt avian manfest NEC,Influenza due to identified avian influenza virus with other manifestations,diagnose
4881,Perirectal incision,Incision of perirectal tissue,procedure
48811,Flu dt 2009 H1N1 w pneu,Influenza due to identified 2009 H1N1 influenza virus with pneumonia,diagnose
48812,Flu-2009 H1N1 w oth resp,Influenza due to identified 2009 H1N1 influenza virus with other respiratory manifestations,diagnose
48819,Flu-2009 H1N1 w oth man,Influenza due to identified 2009 H1N1 influenza virus with other manifestations,diagnose
4882,Perirectal excision,Excision of perirectal tissue,procedure
48881,Flu dt nvl A vrs w pneu,Influenza due to identified novel influenza A virus with pneumonia,diagnose
48882,Flu dt nvl A w oth resp,Influenza due to identified novel influenza A virus with other respiratory manifestations,diagnose
48889,Flu dt novel A w oth man,Influenza due to identified novel influenza A virus with other manifestations,diagnose
4891,Incis rectal stricture,Incision of rectal stricture,procedure
4892,Anorectal myomectomy,Anorectal myectomy,procedure
4893,Repair perirect fistula,Repair of perirectal fistula,procedure
4899,Rectal perirect op NEC,Other operations on rectum and perirectal tissue,procedure
490,Bronchitis NOS,"Bronchitis, not specified as acute or chronic",diagnose
4901,Incis perianal abscess,Incision of perianal abscess,procedure
4902,Perianal incision NEC,Other incision of perianal tissue,procedure
4903,Excis perianal skin tag,Excision of perianal skin tags,procedure
4904,Perianal excision NEC,Other excision of perianal tissue,procedure
4910,Simple chr bronchitis,Simple chronic bronchitis,diagnose
4911,Mucopurul chr bronchitis,Mucopurulent chronic bronchitis,diagnose
4911,Anal fistulotomy,Anal fistulotomy,procedure
4912,Anal fistulectomy,Anal fistulectomy,procedure
49120,Obst chr bronc w/o exac,Obstructive chronic bronchitis without exacerbation,diagnose
49121,Obs chr bronc w(ac) exac,Obstructive chronic bronchitis with (acute) exacerbation,diagnose
49122,Obs chr bronc w ac bronc,Obstructive chronic bronchitis with acute bronchitis,diagnose
4918,Chronic bronchitis NEC,Other chronic bronchitis,diagnose
4919,Chronic bronchitis NOS,Unspecified chronic bronchitis,diagnose
4920,Emphysematous bleb,Emphysematous bleb,diagnose
4921,Anoscopy,Anoscopy,procedure
4922,Perianal biopsy,Biopsy of perianal tissue,procedure
4923,Anal biopsy,Biopsy of anus,procedure
4928,Emphysema NEC,Other emphysema,diagnose
4929,Anal/perian dx proc NEC,Other diagnostic procedures on anus and perianal tissue,procedure
49300,Extrinsic asthma NOS,"Extrinsic asthma, unspecified",diagnose
49301,Ext asthma w status asth,Extrinsic asthma with status asthmaticus,diagnose
49302,Ext asthma w(acute) exac,Extrinsic asthma with (acute) exacerbation,diagnose
4931,Endosc destruc anus les,Endoscopic excision or destruction of lesion or tissue of anus,procedure
49310,Intrinsic asthma NOS,"Intrinsic asthma, unspecified",diagnose
49311,Int asthma w status asth,Intrinsic asthma with status asthmaticus,diagnose
